Фамилия;Имя;Отчество;Пол;Национальность;Рост;Вес;Год;Месяц;День;Телефон;Индекс;Страна;Область;Район;Город;Улица;Дом;Квартира;Кредитка;Счет
Иванов;Иван;Иванович;M;русский;175;75.5;1990;5;15;+375291234567;224001;Беларусь;Брестская;Пинский;Пинск;Ленина;15;27;1234567890123456;BY12345678901234567890
Петрова;Мария;Петровна;F;белоруска;165;60.0;1992;8;22;+375332345678;224002;Беларусь;Брестская;Пинский;Пинск;Советская;8;14;2345678901234567;BY23456789012345678901
Сидоров;Петр;Сидорович;M;русский;180;80.2;1988;3;10;+375293456789;220000;Беларусь;Минская;Минский;Минск;Независимости;25;5;3456789012345678;BY34567890123456789012
Козлова;Анна;Сергеевна;F;белоруска;162;55.3;1995;11;30;+375254567890;224000;Беларусь;Брестская;Брестский;Брест;Московская;10;3;4567890123456789;BY45678901234567890123
Новиков;Алексей;Дмитриевич;M;русский;178;78.0;1993;7;18;+375335678901;224003;Беларусь;Брестская;Пинский;Пинск;Кирова;22;11;5678901234567890;BY56789012345678901234
Морозова;Елена;Викторовна;F;белоруска;170;65.4;1991;2;25;+375296789012;230000;Беларусь;Гродненская;Гродненский;Гродно;Ожешко;5;8;6789012345678901;BY67890123456789012345
Волков;Денис;Андреевич;M;белорус;185;82.1;1989;12;5;+375337890123;224004;Беларусь;Брестская;Пинский;Пинск;Первомайская;30;4;7890123456789012;BY78901234567890123456
Соколова;Татьяна;Михайловна;F;русская;168;58.7;1994;4;12;+375298901234;210000;Беларусь;Витебская;Витебский;Витебск;Ленина;12;6;8901234567890123;BY89012345678901234567
Лебедев;Сергей;Николаевич;M;русский;172;70.3;1987;9;8;+375339012345;212000;Беларусь;Могилевская;Могилевский;Могилев;Мира;7;2;9012345678901234;BY90123456789012345678
Зайцева;Ольга;Владимировна;F;белоруска;160;54.2;1996;6;20;+375330123456;224005;Беларусь;Брестская;Пинский;Пинск;Гагарина;18;9;0123456789012345;BY01234567890123456789
